,valid loss,valid auc,test auc
0,0.50457674,0.8433584171075716,0.700232
1,0.5305349,0.8236062500685137,0.7020379999999999
2,0.5330813,0.8258168210240215,0.713936
3,0.5288575,0.8279942992375502,0.7129920000000001
4,0.51894295,0.8369843484937987,0.7419319999999999
5,0.5257063,0.832223005832265,0.688392
6,0.54049504,0.8168382898030679,0.68736
7,0.54625505,0.7954587693589418,0.6731479999999999
8,0.5170832,0.8399945826165799,0.69205
9,0.5322605,0.8229336047880657,0.667076
10,0.5651633,0.7827034083555482,0.6890959999999999
11,0.53103864,0.8237818835239874,0.720218
12,0.51835275,0.8364504895244471,0.7300840000000001
13,0.5226504,0.8259791859847821,0.6786519999999999
14,0.52712095,0.8251658331397339,0.7400100000000001
15,0.679958,0.7053165727698415,0.635572
16,0.5226393,0.8298108082936034,0.687252
17,0.536042,0.8040300416565269,0.6627439999999999
18,0.51472473,0.8334394054317646,0.714722
19,0.50071275,0.8457887692214252,0.730602
20,0.5448855,0.8002468756783754,0.639756
21,0.5916019,0.7462207039876706,0.649996
22,0.5680001,0.7747775501207836,0.682508
23,0.51001436,0.8410936670339415,0.717678
24,0.5130549,0.8295538707938778,0.708316
25,0.553671,0.8143423344913837,0.7465359999999999
26,0.52287716,0.8214073669545392,0.688796
27,0.5417319,0.8184842170000473,0.696848
28,0.51940614,0.8305904893918876,0.6769799999999999
29,0.6376791,0.6756177011940606,0.622828
30,0.52960783,0.822388351156735,0.691316
31,0.5370086,0.818265158837294,0.6691919999999999
32,0.5744641,0.7668815296733344,0.647516
33,0.509248,0.8380630311958043,0.722466
34,0.54865783,0.8085451122600519,0.6598200000000001
35,0.5347156,0.8119310927428154,0.655392
36,0.5496308,0.8117893820013511,0.6792400000000001
37,0.5144032,0.8346132364611291,0.707602
38,0.52666485,0.8306895381891756,0.7075600000000001
39,0.526117,0.8295104384081464,0.6989819999999999
40,0.5302139,0.8179754382085208,0.6909000000000001
41,0.5348399,0.8191733652725645,0.677708
42,0.5483414,0.7941523004577669,0.6660159999999999
43,0.53165007,0.8261761041318932,0.69058
44,0.5273348,0.819841794145033,0.6830120000000001
45,0.5076884,0.8337737252813281,0.677824
46,0.52297324,0.827700301289193,0.686638
47,0.53784615,0.8249448471282675,0.7129220000000001
48,0.5168022,0.8307222191398421,0.674716
49,0.545659,0.7948058670716748,0.642404
50,0.54025054,0.8078624854081512,0.658596
51,0.5309041,0.8242199484859432,0.6910580000000001
52,0.5179025,0.8290589498357026,0.6999259999999999
53,0.5221048,0.8212766866359253,0.6677439999999999
54,0.5547801,0.7900124829595698,0.670848
55,0.63805056,0.6752003466788447,0.6071120000000001
56,0.5373974,0.8296030907296605,0.695558
57,0.52423376,0.8293056117009169,0.695686
58,0.5428525,0.7978714632424343,0.6782199999999999
59,0.5151796,0.831065610692969,0.7006000000000001
60,0.51126206,0.8344603914772776,0.714836
61,0.52677107,0.8194491816624214,0.6552
62,0.53805405,0.824600779061158,0.68519
63,0.5118003,0.8415440501072102,0.7111500000000001
64,0.5402672,0.8198649088158992,0.710316
65,0.51744187,0.8306726632658727,0.727808
66,0.55222905,0.814650404229156,0.689224
67,0.53259283,0.8249289433577593,0.686228
68,0.53357965,0.8177895606526276,0.68242
69,0.53835714,0.819536328287257,0.6995959999999999
70,0.5288897,0.819709132681905,0.651872
71,0.53831035,0.8057623227878445,0.6447360000000001
